Time,num_cases
0,0
0.25,0
0.5,3
0.75,5
1,11
1.25,14
1.5,21
1.75,23
2,26
2.25,29
2.5,34
2.75,37
3,39
3.25,43
3.5,45
3.75,47
4,49
4.25,51
4.5,53
4.75,54
5,57
5.25,58
5.5,61
5.75,63
6,64
6.25,66
6.5,67
6.75,68
7,72
7.25,73
7.5,76
7.75,78
8,81
8.25,83
8.5,86
8.75,88
9,89
9.25,90
9.5,92
9.75,93
10,96
10.25,97
10.5,100
10.75,102
11,106
11.25,108
11.5,110
11.75,112
12,114
12.25,115
12.5,115
12.75,118
13,118
13.25,122
13.5,126
13.75,129
14,134
14.25,136
14.5,137
14.75,139
15,144
15.25,147
15.5,148
15.75,152
16,154
16.25,156
16.5,160
16.75,165
17,168
17.25,171
17.5,174
17.75,176
18,182
18.25,183
18.5,185
18.75,186
19,191
19.25,195
19.5,199
19.75,207
20,212
20.25,213
20.5,217
20.75,223
21,227
21.25,235
21.5,237
21.75,241
22,244
22.25,249
22.5,252
22.75,262
23,265
23.25,266
23.5,272
23.75,277
24,283
24.25,286
24.5,287
24.75,292
25,298
25.25,304
25.5,306
25.75,307
26,311
26.25,317
26.5,321
26.75,327
27,331
27.25,334
27.5,343
27.75,349
28,352
28.25,359
28.5,365
28.75,369
29,375
29.25,381
29.5,384
29.75,387
30,393
30.25,402
30.5,410
30.75,414
31,420
31.25,427
31.5,435
31.75,438
32,448
32.25,458
32.5,473
32.75,484
33,490
33.25,498
33.5,507
33.75,512
34,518
34.25,522
34.5,528
34.75,536
35,544
35.25,552
35.5,562
35.75,569
36,581
36.25,589
36.5,594
36.75,601
37,612
37.25,619
37.5,624
37.75,633
38,646
38.25,660
38.5,672
38.75,688
39,699
39.25,706
39.5,717
39.75,729
40,737
40.25,746
40.5,759
40.75,769
41,776
41.25,788
41.5,803
41.75,814
42,830
42.25,840
42.5,853
42.75,868
43,878
43.25,893
43.5,911
43.75,923
44,937
44.25,948
44.5,961
44.75,973
45,984
45.25,1000
45.5,1011
45.75,1016
46,1029
46.25,1037
46.5,1054
46.75,1064
47,1081
47.25,1092
47.5,1107
47.75,1117
48,1128
48.25,1153
48.5,1164
48.75,1179
49,1193
49.25,1210
49.5,1228
49.75,1245
50,1261
50.25,1280
50.5,1293
50.75,1312
51,1328
51.25,1349
51.5,1364
51.75,1379
52,1397
52.25,1423
52.5,1435
52.75,1457
53,1473
53.25,1491
53.5,1501
53.75,1515
54,1531
54.25,1546
54.5,1561
54.75,1570
55,1590
55.25,1607
55.5,1636
55.75,1653
56,1677
56.25,1703
56.5,1722
56.75,1750
57,1770
57.25,1794
57.5,1818
57.75,1851
58,1874
58.25,1899
58.5,1927
58.75,1944
59,1979
59.25,2005
59.5,2035
59.75,2062
60,2091
60.25,2129
60.5,2156
60.75,2185
61,2218
61.25,2241
61.5,2276
61.75,2303
62,2339
62.25,2370
62.5,2416
62.75,2458
63,2491
63.25,2538
63.5,2576
63.75,2614
64,2650
64.25,2685
64.5,2729
64.75,2784
65,2819
65.25,2866
65.5,2905
65.75,2957
66,3006
66.25,3040
66.5,3069
66.75,3114
67,3169
67.25,3217
67.5,3248
67.75,3297
68,3338
68.25,3377
68.5,3416
68.75,3467
69,3514
69.25,3579
69.5,3632
69.75,3692
70,3750
70.25,3816
70.5,3868
70.75,3927
71,3973
71.25,4043
71.5,4110
71.75,4170
72,4221
72.25,4288
72.5,4341
72.75,4397
73,4457
73.25,4521
73.5,4581
73.75,4637
74,4684
74.25,4737
74.5,4786
74.75,4838
75,4903
75.25,4960
75.5,5020
75.75,5071
76,5119
76.25,5163
76.5,5231
76.75,5288
77,5337
77.25,5382
77.5,5433
77.75,5482
78,5531
78.25,5580
78.5,5629
78.75,5683
79,5724
79.25,5770
79.5,5816
79.75,5863
80,5917
80.25,5975
80.5,6016
80.75,6062
81,6107
81.25,6161
81.5,6213
81.75,6260
82,6314
82.25,6355
82.5,6405
82.75,6446
83,6491
83.25,6535
83.5,6587
83.75,6631
84,6667
84.25,6719
84.5,6757
84.75,6805
85,6852
85.25,6895
85.5,6945
85.75,6990
86,7031
86.25,7076
86.5,7116
86.75,7155
87,7209
